Primary NAICS,count,mean,sum
327120,9,5.777777777777778,52
333514,10,5.2,52
322122,6,8.666666666666666,52
713940,12,4.333333333333333,52
423850,11,4.7272727272727275,52
325220,4,12.75,51
115115,6,8.333333333333334,50
332612,8,6.25,50
448140,15,3.2666666666666666,49
331319,4,12.25,49
336992,11,4.454545454545454,49
112111,20,2.45,49
423730,8,6.125,49
335312,13,3.769230769230769,49
423210,8,6.0,48
423840,14,3.4285714285714284,48
331315,7,6.857142857142857,48
321114,10,4.8,48
112990,5,9.6,48
333993,7,6.857142857142857,48
624229,7,6.714285714285714,47
517410,6,7.833333333333333,47
337122,14,3.357142857142857,47
23611,7,6.714285714285714,47
311822,10,4.7,47
325611,9,5.222222222222222,47
333413,11,4.2727272727272725,47
311942,11,4.2727272727272725,47
562219,16,2.875,46
624190,18,2.5,45
331522,5,9.0,45
339114,3,14.666666666666666,44
332811,9,4.888888888888889,44
713950,5,8.6,43
333611,12,3.5833333333333335,43
812220,6,7.166666666666667,43
444120,5,8.6,43
332613,4,10.75,43
325411,8,5.375,43
322224,6,7.166666666666667,43
238340,7,6.0,42
532310,5,8.4,42
336112,7,6.0,42
311320,8,5.25,42
333412,10,4.2,42
325212,6,7.0,42
812930,11,3.727272727272727,41
325991,7,5.857142857142857,41
334417,7,5.857142857142857,41
334516,6,6.833333333333333,41
311330,7,5.857142857142857,41
336340,4,10.0,40
621910,13,3.076923076923077,40
334510,4,10.0,40
339992,5,8.0,40
621491,9,4.444444444444445,40
115116,4,10.0,40
335991,7,5.714285714285714,40
311221,3,13.333333333333334,40
211112,6,6.666666666666667,40
611110,13,3.076923076923077,40
711110,5,7.8,39
712130,7,5.571428571428571,39
621112,6,6.5,39
333612,3,13.0,39
336322,3,12.666666666666666,38
321213,5,7.6,38
541612,9,4.222222222222222,38
333618,5,7.6,38
561330,6,6.333333333333333,38
923130,5,7.6,38
541850,6,6.333333333333333,38
517910,5,7.6,38
316110,5,7.6,38
712110,5,7.4,37
454310,10,3.7,37
488330,8,4.625,37
